video,label,score
863,0,0.0061448417
863,0,0.00015516779
863,0,0.00017620248
863,0,0.00022572196
863,0,0.99126583
863,0,0.000450003
863,0,0.89427173
863,0,0.00039548564
863,0,0.00019213662
863,0,0.0001314261
863,0,0.9851226
863,0,0.0012387224
863,0,0.00027689213
863,0,0.0003888095
863,0,0.00022479777
863,0,0.00043716957
863,0,0.00074798736
863,0,0.00027286934
863,0,0.00016483817
863,0,0.011102421
863,0,0.96964765
863,0,0.00038724754
863,0,0.00091371615
863,0,0.0003469627
863,0,0.0003926204
863,0,0.10091876
863,0,0.0003326512
863,0,0.00013315692
863,0,0.00019639995
863,0,0.0011278313
863,0,0.00021222583
863,0,0.00015665623
863,0,0.0001457141
863,0,0.00038553544
863,0,0.00019012848
863,0,0.0002544723
863,0,0.0006692707
863,0,0.00029462716
863,0,0.0002860247
863,0,0.00019318571
863,0,0.023673743
863,0,0.00012927655
863,0,0.00017909097
863,0,0.00062482007
863,0,0.00025693342
863,0,0.0004715929
863,0,0.0024021377
863,0,0.00016583657
863,0,0.0001862565
863,0,0.0012264783
863,0,0.00031759142
863,0,0.00029224725
863,0,0.00020150405
863,0,0.00016598465
863,0,0.0008495184
863,0,0.027355269
863,0,0.2572318
863,0,0.8258671
863,0,0.6383701
863,0,0.00015082001
863,0,0.9993243
863,0,0.0005316265
863,0,0.001285164
863,0,0.00051449763
863,0,0.91830766
863,0,0.0004981381
863,0,0.0005046594
863,0,0.00043562808
863,0,0.0001952457
863,0,0.00020281266
863,0,0.00028427795
863,0,0.00017498393
863,0,0.00014108527
863,0,0.0015395114
863,0,0.0002544704
863,0,0.0120683815
863,0,0.00018409114
863,0,0.0030448851
863,0,0.00019365933
863,0,0.6589263
863,0,0.00022796135
863,0,0.00038419355
863,0,0.0005015898
863,0,0.0001774351
863,0,0.0020559868
863,0,0.00028945573
863,0,0.0012272982
863,0,0.00029638546
863,0,0.97363645
863,0,0.0005767816
863,0,0.00019418779
863,0,0.00041224933
863,0,0.0003000328
863,0,0.00021263823
863,0,0.00021141555
863,0,0.00016806311
863,0,0.0009797973
863,0,0.0009353845
863,0,0.00018894422
863,0,0.00022537098
863,0,0.011142759
089,0,0.99861264
089,0,0.99987257
089,0,0.99952257
089,0,0.9998491
089,0,0.99952114
089,0,0.99984396
089,0,0.9996749
089,0,0.9994005
089,0,0.9998672
089,0,0.9998933
089,0,0.9984658
089,0,0.99986863
089,0,0.999853
089,0,0.99988043
089,0,0.9997291
089,0,0.99985194
089,0,0.99897254
089,0,0.9998312
089,0,0.9997875
089,0,0.99915314
089,0,0.9990125
089,0,0.9998325
089,0,0.9998945
089,0,0.9997912
089,0,0.9998671
089,0,0.9998497
089,0,0.9998801
089,0,0.9998745
089,0,0.9997892
089,0,0.99986804
089,0,0.9998909
089,0,0.999889
089,0,0.9998797
089,0,0.999871
089,0,0.9998548
089,0,0.9992465
089,0,0.99986875
089,0,0.9998542
089,0,0.99985754
089,0,0.99981254
089,0,0.9996222
089,0,0.99987257
089,0,0.9996026
089,0,0.9998791
089,0,0.99981683
089,0,0.9998253
089,0,0.9997589
089,0,0.9998431
089,0,0.9998242
089,0,0.99930847
089,0,0.99986863
089,0,0.9991737
089,0,0.99982893
089,0,0.9997003
089,0,0.9998605
089,0,0.9997876
089,0,0.9943768
089,0,0.9993667
089,0,0.9999107
089,0,0.99988234
089,0,0.99860966
089,0,0.9993754
089,0,0.9998876
